state,race,lf1,lf4,lf7,lf13,punemp1,punemp4,punemp7,punemp13,WHM1,WHM2,WHM3,WHM4,WHM5,WHM6,WHM7,WHM8,WHM9,WHM1_2,WHF1,WHF2,WHF3,WHF4,WHF5,WHF6,WHF7,WHF8,WHF9,WHF1_2,BLKM1,BLKM2,BLKM3,BLKM4,BLKM5,BLKM6,BLKM7,BLKM8,BLKM9,BLKM1_2,BLKF1,BLKF2,BLKF3,BLKF4,BLKF5,BLKF6,BLKF7,BLKF8,BLKF9,BLKF1_2,HISPM1,HISPM2,HISPM3,HISPM4,HISPM5,HISPM6,HISPM7,HISPM8,HISPM9,HISPM1_2,HISPF1,HISPF2,HISPF3,HISPF4,HISPF5,HISPF6,HISPF7,HISPF8,HISPF9,HISPF1_2
Alabama,1745,2151,1574,521,80,11.2,8.6,19.3,11.1,6686,46243,13848,20068,9916,42389,44065,16929,13475,28750,1858,41363,13468,23670,37169,2461,13274,6968,22624,12898,262,4429,2955,5814,5057,9240,24660,14645,12248,3614,225,10275,7841,13756,19258,1440,13639,9085,26209,3241,84,990,316,364,316,2968,4037,8781,1930,504,19,745,236,528,716,314,1964,3972,1696,215
Alabama,1831,2180,1600,534,86,10.5,8.300000000000001,16.8,7.8,6481,46985,14291,19533,10482,40655,43313,17684,13991,28803,1856,41140,12397,22581,37477,2382,12691,7006,21775,12705,238,4233,2874,5832,5036,8873,25170,15066,12287,3622,183,9449,7355,13527,18737,1375,12940,8991,24970,3097,100,1018,374,377,315,2640,3541,8251,2005,555,23,703,235,568,772,141,1585,3622,1628,240
Alabama,1626,2224,1631,555,67,9.800000000000001,7.7,16.4,12.6,18560,66827,13865,32319,14097,39170,54716,17877,14294,34356,12139,52603,12481,26851,35835,1880,22336,7186,22359,18394,175,4430,2949,5840,5310,8428,28508,15741,12159,3698,172,11344,7628,13837,27031,1257,17150,8674,25667,3334,96,1152,335,404,319,2145,4003,7611,3344,636,19,3696,224,584,2299,95,1115,3807,1677,186
Alabama,1611,2176,1596,514,70,8,6.3,12.9,13.8,15002,74879,14096,25257,14761,40631,44786,17958,15183,34396,11324,53412,12381,21975,45373,1962,35284,7434,22783,18650,192,4842,3218,5801,5494,8768,28406,17022,13143,3804,201,12642,7580,23298,19507,1339,20047,10097,26365,3587,98,4085,400,417,329,2292,4002,5498,3230,573,19,3605,191,557,820,154,1163,3128,1338,233
Alabama,1520,2185,1628,492,84,6.9,5.3,12.1,6,14512,74177,14023,18320,18326,43281,52012,18364,14492,34628,10564,52461,11694,27728,46576,2210,19771,7738,21951,18798,187,5065,3119,5460,6011,9199,29053,17552,12979,3845,180,11664,6923,13351,20955,1410,16578,10291,25104,3595,110,4325,415,448,361,3026,2945,5487,2749,710,30,3857,209,552,954,186,1047,3044,1370,248
Alabama,1466,2164,1563,539,90,7.1,5.2,12.2,10,6138,48662,14080,19403,10634,41665,45058,18126,14004,28120,1830,41416,11202,21889,33124,2551,10953,7747,21073,12822,253,5115,3089,6384,5851,8727,28042,17396,13064,3763,182,10224,6931,15290,20648,1408,12674,10897,25351,3547,115,1333,394,485,374,2785,2858,4996,1238,666,21,791,240,665,934,235,1124,3152,1452,224
Alabama,1389,2155,1521,566,82,6.1,4.3,10.6,6.5,5825,49431,13355,19180,11099,40123,44214,17809,14797,28485,1815,43338,11202,21040,32559,2137,10908,7256,21906,12753,295,5213,3078,6450,6418,8669,29206,17967,14931,3778,257,10822,7194,15343,22049,1245,13478,10715,29245,3613,89,1366,402,585,412,2804,2921,4933,1344,677,22,840,239,700,1046,195,1268,2698,1713,231
Alabama,1865,2167,1506,579,88,6,4.6,10.1,5.2,5879,50005,13725,17841,11433,37940,43152,17977,15371,27569,1809,42805,11010,18710,32773,2103,10783,7437,23672,12802,205,5929,3055,5799,6714,8330,28146,19024,14701,3732,219,11611,7302,14100,22878,1206,13445,12386,29648,3651,84,1519,511,510,454,2858,2836,4872,1648,670,32,997,249,624,1168,202,1254,3054,1763,228
Alabama,1171,2162,1526,552,83,4.3,3.2,7.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,19,362,284,12,15,7.9,7,7.7,7.5,853,7056,2707,3077,1574,8070,5159,4267,3249,3327,433,6071,1363,3863,5072,335,982,1412,4585,1910,17,310,133,260,219,180,403,798,586,98,14,248,103,290,501,13,82,122,553,69,28,245,120,239,135,443,548,1632,555,131,17,206,51,339,370,71,99,488,601,88
Alaska,38,360,277,17,15,8,6.9,5.4,6.9,938,7298,2862,3010,1922,7955,5582,3508,3413,3466,452,6057,1316,3619,5290,268,657,1114,5037,1930,14,299,152,250,230,170,378,759,566,102,14,242,120,232,483,11,83,127,591,70,23,277,163,235,166,314,541,1463,543,122,18,195,106,326,363,29,76,377,611,79
Alaska,21,370,280,17,16,7.6,6.3,10.3,4.3,860,6882,2930,3148,1598,7752,5615,3634,3325,3538,401,5901,1235,3647,4811,394,729,856,4887,2034,9,277,122,257,252,198,481,710,565,107,13,230,87,255,533,46,129,112,590,85,25,261,172,226,146,420,765,1764,602,165,11,211,87,335,385,71,137,610,673,80
