state2,state,race,lf7,lf13,punemp1,punemp4,punemp7,punemp13
Alabama,Alabama,1745,521,80,11.2,8.6,19.3,11.1
Alabama,Alabama,1831,534,86,10.5,8.300000000000001,16.8,7.8
Alabama,Alabama,1626,555,67,9.800000000000001,7.7,16.4,12.6
Alabama,Alabama,1611,514,70,8,6.3,12.9,13.8
Alabama,Alabama,1520,492,84,6.9,5.3,12.1,6
Alabama,Alabama,1466,539,90,7.1,5.2,12.2,10
Alabama,Alabama,1389,566,82,6.1,4.3,10.6,6.5
Alabama,Alabama,1865,579,88,6,4.6,10.1,5.2
Alabama,Alabama,1171,552,83,4.3,3.2,7.5,2.7
Alaska,Alaska,19,12,15,7.9,7,7.7,7.5
Alaska,Alaska,38,17,15,8,6.9,5.4,6.9
Alaska,Alaska,21,17,16,7.6,6.3,10.3,4.3
Alaska,Alaska,24,13,20,7.4,6.1,10.2,5
Alaska,Alaska,34,,26,6.6,5.5,,8.699999999999999
Alaska,Alaska,23,12,25,7.1,5.7,8.800000000000001,10
Alaska,Alaska,25,14,28,6.7,5.2,4.6,5.1
Alaska,Alaska,33,15,25,6.6,5,6.1,4.4
Alaska,Alaska,28,12,21,7.7,5,12.9,3.5
Arizona,Arizona,536,117,904,10,9.300000000000001,19.8,12.7
Arizona,Arizona,563,121,931,10.4,9.9,10.2,13.4
Arizona,Arizona,613,127,863,9.5,9.199999999999999,15.2,12.7
Arizona,Arizona,615,139,897,8.199999999999999,8.1,9.199999999999999,10.6
Arizona,Arizona,600,138,929,8,7.2,15.3,9.4
Arizona,Arizona,560,142,1062,7,6.4,5.6,8.300000000000001
Arizona,Arizona,560,158,1197,6,5.7,9.1,8.300000000000001
Arizona,Arizona,590,171,1096,5.2,5.1,6.8,7.1
Arizona,Arizona,437,181,1078,4.7,4.3,9,5.9
Arkansas,Arkansas,740,193,66,7.8,6.6,14.2,6.3
Arkansas,Arkansas,816,193,62,8.6,7.3,16.5,7.9
Arkansas,Arkansas,745,201,76,8.6,6.6,17.7,7.3
Arkansas,Arkansas,736,201,80,7.6,6,15.9,5.5
Arkansas,Arkansas,742,182,89,7.8,6.4,16.5,8
Arkansas,Arkansas,566,182,109,6,5.4,9.9,5
Arkansas,Arkansas,577,184,99,5.2,4.3,10.3,6.7
Arkansas,Arkansas,651,201,98,3.9,3.2,7.7,3.6
Arkansas,Arkansas,596,208,104,3.7,3.3,5.3,2
California,California,2251,1084,6302,11.3,11.3,14.3,14.7
California,California,2239,1099,6398,12.2,11.9,19.5,14.7
California,California,2372,1074,6593,11.6,11.3,19.6,13.8
California,California,2299,1059,6808,10.4,10.1,17.3,12.7
California,California,2285,1052,6787,8.9,8.6,15.7,10.2
California,California,2176,1117,6863,7.5,7.1,13.6,8.5
California,California,2015,1169,6885,6.2,6,11,7.6
California,California,1905,1150,6834,5.4,5.4,8.800000000000001,6.6
California,California,1811,1186,7103,4.8,4.7,6.8,5.6
Colorado,Colorado,578,102,442,7.4,6.9,14.7,10.5
Colorado,Colorado,617,108,452,8.699999999999999,8.4,12.8,13.2
Colorado,Colorado,488,98,454,8.4,7.9,14,11.5
Colorado,Colorado,503,106,486,8.1,8,9,12.6
Colorado,Colorado,482,107,503,6.6,6.3,11.3,9.9
Colorado,Colorado,488,107,501,4.9,4.6,10.8,6.4
Colorado,Colorado,496,107,481,3.9,3.8,5.9,5.5
Colorado,Colorado,615,129,534,3.3,3.2,4.8,4.7
Colorado,Colorado,459,134,588,2.9,2.6,4.8,3.4
Connecticut,Connecticut,43,176,173,8.1,7.3,16.7,12.7
Connecticut,Connecticut,99,180,193,9.199999999999999,8.300000000000001,17.2,17.7
Connecticut,Connecticut,81,188,192,8.9,8.1,18.3,17.8
Connecticut,Connecticut,81,196,210,8.4,7.8,14.9,15.7
Connecticut,Connecticut,88,194,204,7.7,7,13.3,12.2
Connecticut,Connecticut,98,192,221,6.6,6,12.5,10.9
Connecticut,Connecticut,63,197,224,5.6,4.5,13.2,11.3
Connecticut,Connecticut,62,187,289,5.2,4.7,10.8,7.6
Connecticut,Connecticut,98,205,285,4.9,4.8,6,8.699999999999999
Delaware,Delaware,57,91,27,8.5,7.5,12.7,10.4
Delaware,Delaware,69,91,33,8.5,7.6,12,8.6
